@RELATION music_speech
@ATTRIBUTE BIN_A_MEAN NUMERIC
@ATTRIBUTE BIN_B_MEAN NUMERIC
@ATTRIBUTE BIN_C_MEAN NUMERIC
@ATTRIBUTE BIN_D_MEAN NUMERIC
@ATTRIBUTE BIN_E_MEAN NUMERIC
@ATTRIBUTE BIN_F_MEAN NUMERIC
@ATTRIBUTE BIN_G_MEAN NUMERIC
@ATTRIBUTE BIN_H_MEAN NUMERIC
@ATTRIBUTE BIN_I_MEAN NUMERIC
@ATTRIBUTE BIN_J_MEAN NUMERIC
@ATTRIBUTE BIN_K_MEAN NUMERIC
@ATTRIBUTE BIN_L_MEAN NUMERIC
@ATTRIBUTE BIN_M_MEAN NUMERIC
@ATTRIBUTE BIN_N_MEAN NUMERIC
@ATTRIBUTE BIN_O_MEAN NUMERIC
@ATTRIBUTE BIN_P_MEAN NUMERIC
@ATTRIBUTE BIN_Q_MEAN NUMERIC
@ATTRIBUTE BIN_R_MEAN NUMERIC
@ATTRIBUTE BIN_S_MEAN NUMERIC
@ATTRIBUTE BIN_T_MEAN NUMERIC
@ATTRIBUTE BIN_U_MEAN NUMERIC
@ATTRIBUTE BIN_V_MEAN NUMERIC
@ATTRIBUTE BIN_W_MEAN NUMERIC
@ATTRIBUTE BIN_X_MEAN NUMERIC
@ATTRIBUTE BIN_Y_MEAN NUMERIC
@ATTRIBUTE BIN_Z_MEAN NUMERIC
@ATTRIBUTE BIN_A_STD NUMERIC
@ATTRIBUTE BIN_B_STD NUMERIC
@ATTRIBUTE BIN_C_STD NUMERIC
@ATTRIBUTE BIN_D_STD NUMERIC
@ATTRIBUTE BIN_E_STD NUMERIC
@ATTRIBUTE BIN_F_STD NUMERIC
@ATTRIBUTE BIN_G_STD NUMERIC
@ATTRIBUTE BIN_H_STD NUMERIC
@ATTRIBUTE BIN_I_STD NUMERIC
@ATTRIBUTE BIN_J_STD NUMERIC
@ATTRIBUTE BIN_K_STD NUMERIC
@ATTRIBUTE BIN_L_STD NUMERIC
@ATTRIBUTE BIN_M_STD NUMERIC
@ATTRIBUTE BIN_N_STD NUMERIC
@ATTRIBUTE BIN_O_STD NUMERIC
@ATTRIBUTE BIN_P_STD NUMERIC
@ATTRIBUTE BIN_Q_STD NUMERIC
@ATTRIBUTE BIN_R_STD NUMERIC
@ATTRIBUTE BIN_S_STD NUMERIC
@ATTRIBUTE BIN_T_STD NUMERIC
@ATTRIBUTE BIN_U_STD NUMERIC
@ATTRIBUTE BIN_V_STD NUMERIC
@ATTRIBUTE BIN_W_STD NUMERIC
@ATTRIBUTE BIN_X_STD NUMERIC
@ATTRIBUTE BIN_Y_STD NUMERIC
@ATTRIBUTE BIN_Z_STD NUMERIC
@ATTRIBUTE class {music,speech}
@DATA
33.209069,-8.641383,-9.296739,-2.757132,-2.325272,-0.361421,0.556708,-0.164795,-1.292440,-0.970554,0.170942,0.704841,0.750853,0.152375,0.309130,-0.187659,-0.519688,-0.737721,-0.233555,0.365301,0.489032,0.398836,0.398222,0.429667,0.400077,0.045350,24.483352,4.902482,3.472228,2.254801,1.902321,1.900639,1.757969,1.858550,1.660680,1.512262,1.580462,1.454038,1.286834,1.158400,1.234036,1.484674,1.562019,1.470655,1.140612,1.346485,1.174723,1.059332,0.919247,0.921856,1.021332,1.109453,music
9.549378,5.721770,-6.826445,4.944076,-0.579445,-0.299506,-0.169165,-1.052799,-1.109655,-0.585595,-0.440948,-0.185930,0.449053,0.278844,-0.037153,0.151127,0.179259,0.277073,0.092180,0.066741,-0.082725,-0.226069,0.148759,0.139094,0.008064,-0.059845,10.101591,3.084923,3.187038,2.623678,1.948929,1.420695,1.459628,1.238896,1.141261,1.003409,0.945971,0.994286,0.788601,0.821547,0.664602,0.713566,0.625887,0.827099,0.714192,0.597903,0.586834,0.633110,0.598724,0.566903,0.530188,0.525879,music
43.891596,-10.504376,-3.399852,-0.411264,-1.271880,0.516695,-1.865000,-0.683322,-0.619336,-0.107224,0.122826,0.543480,0.310195,0.197925,0.497271,0.332313,0.144993,-0.142710,-0.630892,-0.366804,-0.682646,-0.500555,-0.101159,-0.239105,-0.123940,-0.056498,14.007107,5.927640,3.608048,2.381115,2.263092,2.040580,2.106647,1.700227,1.638535,1.272798,1.267042,1.369546,1.330260,1.294968,1.306018,1.109115,0.985397,0.883341,1.083520,0.986878,0.878424,0.843845,0.735237,0.658998,0.664510,0.668349,music
-2.260847,-1.222528,-4.660967,0.603662,-0.960582,-1.922110,-0.433882,0.558277,0.130640,0.367300,-0.597681,-0.180395,0.040862,0.290109,0.570967,0.862315,0.270986,-0.092583,-0.406070,-0.008292,0.139644,-0.168995,-0.204458,0.240422,0.281532,0.210580,10.675603,2.796341,3.007511,1.756437,1.365005,1.418714,1.232669,1.368353,1.319156,1.069840,1.146135,1.066872,1.277478,1.090008,1.144868,1.321387,1.020326,0.874087,0.847844,0.901702,0.919350,0.877690,0.883661,0.778101,0.872943,0.951879,music
1.457165,0.997717,-3.389316,-2.453646,-2.302508,-1.760039,-1.469079,-0.416344,-0.636922,0.379428,0.143147,0.583548,0.139612,0.349525,0.367500,0.490267,-0.197247,-0.312689,-0.395420,-0.298379,-0.151550,-0.057485,-0.121659,-0.335899,-0.231714,0.043375,16.456361,4.355008,4.153304,2.582555,1.175466,1.214764,1.032826,1.026075,1.074675,0.906873,1.070202,1.148977,1.089806,1.000050,1.038614,0.922748,0.977821,1.052684,0.946294,0.821541,0.791406,0.729651,0.668177,0.546787,0.623934,0.632155,music
-0.031601,-3.365054,-2.375224,-0.170725,-2.172769,-1.514997,-2.054641,-0.805128,-1.005131,-0.315334,-0.659627,-0.022076,-0.311425,-0.124510,-0.148701,0.132776,-0.170463,0.263902,0.284694,0.379380,0.434510,0.315455,0.317824,0.162143,0.022385,0.089779,19.856839,4.304130,4.556010,1.689708,1.555685,1.466896,1.316764,1.114279,1.255081,1.019784,1.000843,0.953176,0.889701,0.660496,0.707555,0.745437,0.647463,0.784644,0.972817,1.004240,1.046388,0.859859,0.615844,0.635548,0.592639,0.458547,music
-5.021846,1.444017,-3.966650,-0.761909,-1.118422,-1.871240,-0.916253,-0.340519,-0.682390,-0.044270,-0.420237,0.481911,0.371803,0.129134,-0.406109,-0.186863,-0.022761,-0.020827,0.101178,0.092731,-0.248312,-0.371839,-0.195900,-0.152786,-0.254790,-0.327025,20.883822,6.532543,3.889194,1.778022,1.789439,1.388398,1.294170,1.208571,1.328009,1.210126,1.447536,1.599798,1.324659,1.160409,1.348790,1.265176,1.231785,0.957346,1.056940,1.147971,0.925608,1.024034,1.024726,0.727595,0.953691,0.866364,music
19.924946,-8.995593,-9.581204,-0.025946,1.875744,-2.924056,-1.796203,0.470401,0.268741,1.653218,0.970931,2.013036,1.760492,1.172559,1.296400,1.118934,0.459234,0.152479,0.537792,0.514375,0.335710,0.341485,0.065712,0.271893,-0.135652,-0.480393,10.203189,2.690116,4.338321,1.730545,1.934962,2.592904,1.704754,1.741382,1.337566,1.296708,1.131747,1.238457,1.418745,1.172395,1.237959,1.134945,1.125839,1.019949,1.121849,1.103057,0.958710,0.972605,0.854518,0.767521,0.804981,0.957163,music
31.958189,-5.996309,3.107466,-3.402548,-2.951399,-1.003213,0.527193,1.488658,0.781509,-0.094776,0.089985,1.018921,1.228889,0.168849,-0.196255,0.140851,-0.152496,0.164078,0.178364,0.198541,-0.314779,-0.327438,-0.080872,0.248368,-0.030853,0.007329,11.205640,4.312277,3.148180,2.678746,2.184522,1.635351,1.619463,1.304418,1.367656,1.442015,1.133229,1.473992,1.481382,1.237745,1.303227,1.455762,1.398925,1.299323,1.103539,1.038489,1.014805,1.001152,0.710558,0.754876,0.800128,0.801924,music
-10.969478,2.424289,3.910711,-1.401540,-3.406037,-3.963086,-2.905244,-0.788599,-1.874785,-1.431296,-2.108833,-0.879767,-1.571883,-1.359202,-0.609412,-0.413044,-0.824375,-0.254717,-0.050916,-0.700924,-0.115777,-0.446880,-0.264873,-0.119433,-0.154510,0.166705,12.506295,5.101403,2.386835,3.264027,2.661609,2.004816,1.523921,1.706102,1.799138,1.419767,1.241833,1.227281,1.190753,1.337190,1.091285,1.053928,1.318172,1.172795,1.242887,1.239555,0.914123,0.766275,0.772525,0.814694,0.722782,0.649504,music
22.789024,-8.130392,-5.089491,1.322432,-0.742868,-0.760429,0.802176,1.078064,-0.673279,-0.046018,0.928174,0.456568,-0.081228,-0.327559,-0.343311,0.224011,-0.451849,-0.223965,0.079766,-0.056789,-0.153972,-0.182254,-0.217503,-0.386498,-0.291905,-0.029348,9.878373,4.557375,3.324501,2.035585,1.970584,1.396153,1.749694,1.335990,1.295873,1.167234,1.174295,0.973843,0.996613,0.983597,0.922677,0.998058,0.858967,0.717333,0.734700,0.700976,0.649805,0.631337,0.555046,0.615572,0.707305,0.588121,music
8.766030,2.175177,-6.933650,-2.534414,-2.250216,-1.766505,-1.711773,-0.906234,-1.925833,-0.416403,0.101863,0.688560,0.503519,-0.249297,-0.201701,0.414885,0.322335,-0.086148,-0.097119,-0.296660,-0.123795,0.306410,0.070025,-0.206635,-0.229891,0.074737,19.836803,5.267858,2.812473,2.288898,1.363646,1.468766,1.199548,1.261067,1.140959,0.942793,1.051675,1.119474,0.923536,1.002482,0.981142,1.116219,0.956413,0.841617,1.004011,1.029298,1.031364,0.879164,0.671510,0.592749,0.745341,0.819498,music
16.230939,-9.629240,0.885381,0.126985,-0.476634,0.176712,-0.030847,-0.667134,-0.214748,0.239677,0.161788,0.246702,-0.127946,-0.248420,-0.057330,0.321769,-0.098446,0.130925,0.212523,0.021935,-0.171741,-0.033272,-0.176796,-0.294606,-0.091974,-0.062021,12.363629,4.516732,3.467053,2.887585,2.525339,1.839459,1.800192,1.762193,1.418600,1.287366,1.223088,1.134626,1.246037,1.382291,1.230693,1.112386,1.132691,1.163018,1.037994,1.042758,0.884177,1.010061,0.962930,0.733077,0.846409,0.831547,music
17.832810,-7.746693,-0.412094,0.643260,-0.203802,0.722468,0.548522,-0.554860,0.670148,0.221071,0.060843,0.448698,0.157712,0.577999,0.617361,0.806442,0.456538,0.109127,-0.455318,-0.878749,-0.619900,-0.169991,-0.194589,0.050975,-0.051519,-0.077241,20.362209,4.947259,3.809923,2.442198,2.540229,1.918530,1.899171,1.622301,1.570990,1.370859,1.435693,1.486239,1.297428,1.449843,1.210220,1.250752,1.098833,1.175365,1.386421,1.126968,1.049750,0.979127,0.962699,0.708596,0.802622,0.866704,music
6.032993,3.647870,-10.511098,4.932393,2.512866,-0.092573,-1.009391,-3.514057,-1.405300,-0.621171,-0.419261,0.917319,-0.054515,0.087661,-0.817492,-0.464135,0.196935,-0.068950,0.376660,-0.092464,-0.043749,-0.099918,-0.228174,-0.084762,-0.198881,-0.155127,15.958294,3.243657,5.098819,2.947366,2.607217,1.511899,1.642187,1.401238,1.285130,1.105448,1.125777,1.138425,1.052338,0.997598,0.922529,0.882379,1.026297,1.079591,1.028216,0.840354,0.857408,0.756054,0.659562,0.787638,0.807980,0.598899,music
17.833164,-10.588438,-10.373622,-0.270168,0.376485,-7.187475,-4.353418,-0.397424,-2.477873,0.598684,1.787886,1.096667,1.254549,1.957977,1.479359,0.711292,0.385884,0.508004,0.563150,0.385540,-0.077418,0.122397,0.064743,0.037261,-0.101705,0.585124,8.317017,2.723578,3.961445,2.263853,3.413586,3.358916,2.312272,1.349763,1.625441,1.331837,1.617311,1.001578,1.162369,1.224684,1.064139,1.002354,0.741074,0.699798,0.871529,0.818104,0.727889,0.731900,0.668436,0.601283,0.532355,0.576046,music
20.097037,-13.220291,-2.571801,-0.135481,-1.389904,0.319508,-0.533812,0.255464,-0.349349,0.162174,0.294447,0.700961,0.246228,0.412666,-0.098111,0.143444,0.479127,0.241047,-0.287169,0.088014,-0.274023,-0.328743,-0.187145,-0.102445,-0.197890,0.175511,7.203127,3.411602,2.665610,1.785807,1.263870,1.059269,1.388383,1.250502,1.251126,1.389187,1.099872,0.991200,1.249728,1.389803,1.385642,1.163998,1.149971,1.049322,0.994174,0.913964,0.782529,0.900200,0.790175,0.721541,0.719574,0.898165,music
16.287501,-14.098573,4.714683,0.978777,1.031869,0.308269,0.205660,0.806325,-0.389811,-0.329840,-0.017889,0.845892,-0.051512,0.788714,0.157851,0.655093,0.135895,0.066843,0.048908,0.173218,0.114683,0.288086,0.166479,0.038112,0.295861,-0.383310,9.556483,3.290170,2.426639,1.886951,1.221119,1.075497,1.171373,1.189195,1.070780,0.985843,0.948748,0.878083,1.049365,0.875361,0.735158,0.701516,0.785326,0.727640,0.679847,0.672276,0.570332,0.544364,0.547585,0.612484,0.683743,0.545556,music
-13.613564,-16.082857,1.865391,-0.727418,2.950448,-0.764584,-2.050653,-1.443832,-0.414351,-0.285378,0.098172,-0.329710,0.111576,1.016789,-1.760451,-0.318645,0.345684,-0.683912,1.573797,-0.450391,-0.383179,-0.326444,-0.233737,0.209348,-0.397302,0.131766,14.896279,4.560819,6.314969,2.864670,1.924413,1.763000,1.536929,1.446760,1.326038,2.232299,2.136612,1.709589,1.500979,2.241441,1.769337,1.830320,1.569094,1.967119,1.333486,1.190788,1.272801,1.190150,1.012804,1.067696,0.867007,0.839509,music
26.516896,-3.373794,-0.685586,0.829979,-3.290406,1.333126,-1.122192,0.150767,-0.224011,-0.287423,-0.237800,-0.332077,-0.702547,-0.660521,-0.822900,-0.397788,-0.713748,-0.467122,-0.508549,-0.311800,-0.606256,-0.392324,-0.364916,-0.643530,-0.712292,-0.289842,17.483647,7.183939,3.182640,1.596679,1.407925,1.281623,1.110686,1.040704,0.993419,0.932697,0.952404,0.838026,0.819427,0.826580,0.776534,0.702723,0.653903,0.667662,0.640035,0.611313,0.574226,0.714966,0.643384,0.601882,0.814498,0.675950,music
21.865444,-8.779194,-8.873268,0.593180,-0.543512,-6.487020,-4.282716,-1.769861,-1.487569,1.212716,1.143996,1.659274,2.089601,2.031623,1.733727,0.767218,0.552993,0.293850,0.385528,0.489599,-0.067092,-0.003585,0.189325,0.657588,0.061774,-0.317535,6.320742,1.497099,2.015273,1.456447,1.224380,1.610462,1.167474,1.143311,1.049469,0.928680,0.891748,1.094358,1.059000,0.841777,0.828496,0.871999,0.859038,0.885140,0.921737,0.785956,0.725143,0.732852,0.702636,0.626862,0.734811,0.963587,music
44.212409,-12.373971,-0.007866,0.699038,-0.018734,0.997038,-1.782616,-1.524938,-0.389619,-0.523080,-1.200723,-0.357949,0.550447,-0.462523,-0.886686,-0.007529,0.692916,0.031284,-1.235745,-0.258358,0.386255,-0.265563,-0.641101,-0.040166,-0.175734,0.084616,11.080209,3.915880,2.670694,2.297787,3.777115,1.975483,2.305615,1.584178,2.628834,1.615699,2.478460,1.605361,2.370447,1.639556,1.439350,1.324558,1.204467,0.968373,1.304003,0.934430,1.258081,0.911643,0.837574,0.897405,0.800328,0.943144,music
30.533343,-12.219192,-1.640166,-0.631061,-2.040902,-0.609185,-1.302478,-0.997523,-1.517504,-0.719567,-0.094714,-0.173732,-0.205018,-0.080339,-0.468021,-0.069924,0.256246,0.063464,-0.671049,-0.061108,0.095433,-0.236320,-0.285869,0.029397,-0.132947,-0.099834,15.897100,6.285445,5.201587,3.616651,2.795874,2.136201,2.283522,1.812173,2.083603,1.539505,1.617036,1.494484,1.306965,1.221518,1.156608,1.289002,1.112677,1.139137,1.146750,1.172620,0.895390,1.033272,0.952026,0.898234,0.871445,0.733039,music
-21.624083,3.793902,3.572941,-0.591418,0.306120,-2.042937,-1.834876,-1.176051,-1.767525,-1.104011,-1.010710,-0.672558,-0.284386,0.611399,0.873517,0.858842,0.421701,0.053335,-0.077951,-0.483236,-0.560413,-0.759005,-0.672745,-0.322155,0.214653,0.344452,11.117932,3.178488,3.485346,1.885984,1.315790,1.359087,1.302911,1.138383,1.253849,1.023604,1.160631,1.005807,1.306951,1.507533,1.285049,1.032936,1.094818,1.285952,1.417453,1.330804,1.047151,0.751582,0.771483,0.804715,0.706269,0.816331,music
30.872289,-4.736434,-6.209691,3.888134,-0.503608,0.533902,-2.193905,0.906637,0.042455,0.426768,-1.218056,-0.552260,-0.113674,-0.621701,0.127933,-0.612144,-0.280431,0.133246,-0.318936,0.384754,0.036588,0.011219,0.053505,-0.415175,-0.244857,0.346408,9.602016,3.584572,3.410365,2.025411,1.582741,1.306996,1.191115,1.192041,0.989352,0.960396,0.840448,0.865362,0.854770,0.885534,0.744307,0.650247,0.611725,0.703868,0.673674,0.533996,0.518183,0.514071,0.491211,0.541348,0.471604,0.561444,music
21.896882,-10.926851,-7.448310,-1.011632,0.204884,-5.598355,-4.341092,-3.083636,-3.268952,-0.728299,-0.547241,1.039876,0.819225,0.387465,2.116056,0.634633,0.550563,0.104988,0.022044,0.073509,0.232594,0.614249,0.097962,0.325464,0.640263,0.378334,8.100868,3.993047,3.149863,2.184020,1.497017,1.755134,1.491683,1.491757,1.472585,1.103264,1.130530,1.158274,1.239614,1.194193,1.050284,1.043079,1.103058,0.883709,0.951250,0.994030,0.899887,0.636321,0.606787,0.658246,0.612783,0.661112,music
20.418504,-12.819645,-2.252659,1.786670,-0.627374,-0.463752,0.561218,1.316527,-0.568093,0.729765,1.183291,0.452631,-0.295073,-0.069080,-0.010441,0.174656,0.082843,-0.143369,-0.197098,0.169680,-0.275142,-0.289945,-0.529383,-0.239282,-0.062957,-0.454599,7.084625,3.196899,2.943238,1.691001,1.453536,1.275122,1.361084,1.392847,1.315820,1.195387,1.040343,1.030939,1.040315,1.081011,1.010227,0.892365,0.931671,0.892506,0.704402,0.805550,0.832640,0.787332,0.853144,0.748668,0.769401,0.777597,music
16.960858,-6.693710,-5.887204,-2.282605,0.870724,0.821717,-0.133869,-0.285850,-0.391485,0.202088,-0.127352,0.025844,-0.025420,-0.214838,-0.425187,0.423773,0.295539,0.238738,-0.369856,-0.250712,-0.600287,-0.412576,-0.159738,-0.004113,-0.207513,-0.215393,11.245401,4.285510,4.677713,1.962317,1.348438,1.239051,1.271707,1.070489,1.066966,1.078295,1.152991,1.136344,1.261843,1.337122,1.456247,1.393653,1.402331,1.158418,1.208105,1.204866,1.057139,1.062393,1.065145,0.991784,0.943205,1.087258,music
40.090661,-16.455104,-16.692663,-1.083957,1.033273,-8.095975,-3.333759,-1.958222,-1.821860,0.960652,-0.224017,1.346408,1.008863,0.295629,1.518211,0.883029,1.739716,-1.396057,1.201563,-0.366825,-0.458619,0.427847,-0.092102,0.578995,0.200095,-0.390780,3.441754,1.973412,1.904679,1.369598,1.024395,0.993757,1.044561,0.953567,0.964786,0.859050,0.702163,0.830485,0.783449,0.740234,0.723101,0.696252,0.609631,0.555376,0.615092,0.604010,0.538330,0.503701,0.469234,0.438366,0.428037,0.432498,music
23.880289,-7.380030,-9.802954,-1.695273,-1.500714,-5.680984,-2.612373,-1.648854,-2.535923,0.785726,0.181487,0.515711,1.855770,1.390292,1.612340,1.616732,1.048661,0.345540,0.692932,0.820633,0.544337,0.517599,0.002000,0.592083,0.304903,0.092495,6.335107,1.347343,2.258240,1.453695,1.749215,1.622603,1.661597,1.090259,1.297042,1.036778,0.966365,1.084395,0.922137,0.882944,0.976588,1.002633,0.737471,0.696868,0.836333,0.963072,1.156900,0.886969,0.641823,0.607302,0.704342,0.649820,music
