@RELATION music_speech
@ATTRIBUTE RMS_MEAN NUMERIC
@ATTRIBUTE ZCR_MEAN NUMERIC
@ATTRIBUTE SC_MEAN NUMERIC
@ATTRIBUTE SRO_MEAN NUMERIC
@ATTRIBUTE SFM_MEAN NUMERIC
@ATTRIBUTE RMS_STD NUMERIC
@ATTRIBUTE ZCR_STD NUMERIC
@ATTRIBUTE SC_STD NUMERIC
@ATTRIBUTE SRO_STD NUMERIC
@ATTRIBUTE SFM_STD NUMERIC
@ATTRIBUTE class {music,speech}
@DATA
0.084215,0.166707,131.488289,262.426357,0.451999,0.126985,0.109276,49.161110,92.511845,0.187836,speech
0.080246,0.154724,116.703266,205.711628,0.359768,0.077013,0.069157,28.028187,59.215810,0.128353,speech
0.074620,0.163601,119.380186,209.300000,0.378440,0.065442,0.061994,27.406228,61.487170,0.125038,speech
0.017024,0.150908,131.583159,282.805426,0.503971,0.021965,0.080209,34.483593,64.257743,0.122822,speech
0.049224,0.175852,134.278834,252.116279,0.416082,0.046878,0.139206,59.486960,83.109037,0.154577,speech
0.034538,0.151875,124.877171,246.479845,0.439592,0.041813,0.102905,46.179306,82.151882,0.157633,speech
0.045427,0.080565,90.933872,181.258140,0.263239,0.021656,0.079307,44.509313,76.868311,0.135688,speech
0.099355,0.114949,113.414756,220.410853,0.346756,0.061411,0.101780,49.873012,81.516195,0.161574,speech
0.081313,0.108582,100.321392,186.934109,0.275868,0.037898,0.097989,51.461508,83.963407,0.156404,speech
0.021183,0.114340,114.444259,213.810853,0.320264,0.011959,0.133488,67.329243,106.011159,0.165921,speech
0.029804,0.167031,132.323831,271.182171,0.484364,0.038004,0.083043,40.062083,87.467124,0.166288,speech
0.012836,0.156486,133.313698,293.448837,0.526883,0.013023,0.063798,31.477277,68.013240,0.123085,speech
0.055782,0.070601,65.999901,123.182171,0.163510,0.033347,0.040234,17.876572,38.810613,0.073253,speech
0.026319,0.085235,92.810970,184.355814,0.278726,0.023521,0.105902,57.017533,109.609998,0.180102,speech
0.045466,0.058309,80.858406,153.529457,0.253683,0.033750,0.096264,62.070889,114.075520,0.171790,speech
0.044443,0.106877,106.458269,203.688372,0.314208,0.025379,0.109525,55.534691,91.766534,0.163787,speech
0.011834,0.096645,106.336080,210.948837,0.324587,0.006167,0.094893,50.199429,81.825796,0.152299,speech
0.047681,0.102159,106.551218,221.534884,0.365738,0.042765,0.086568,44.199971,93.772275,0.160023,speech
0.044192,0.062344,92.902782,195.496124,0.327146,0.027306,0.065847,37.075008,76.119839,0.130842,speech
0.039464,0.153334,123.200352,241.172868,0.412522,0.034996,0.119619,52.268521,93.331826,0.167209,speech
0.039823,0.055300,89.587074,211.722481,0.343663,0.021938,0.045148,31.095174,76.060679,0.112044,speech
0.026752,0.122329,115.062159,248.971318,0.427806,0.023103,0.068971,34.879052,82.953139,0.144036,speech
0.044593,0.086662,78.180923,145.616279,0.200345,0.022884,0.064690,32.233513,59.243847,0.122581,speech
0.031797,0.047707,62.222060,116.582946,0.196757,0.014543,0.082188,51.370945,93.854653,0.135634,speech
0.035114,0.136636,121.856542,253.913953,0.430217,0.032438,0.089121,43.212681,87.930229,0.162141,speech
0.031101,0.123890,117.779004,224.991473,0.336263,0.017874,0.117955,57.359919,89.332802,0.160362,speech
0.077904,0.185417,139.224497,259.957364,0.408261,0.089746,0.157856,70.726125,101.338448,0.175725,speech
0.074868,0.066883,78.990917,155.389922,0.247241,0.054952,0.091072,51.943386,92.452665,0.161378,speech
0.022436,0.153038,131.485096,281.837984,0.482911,0.024649,0.087865,38.829143,71.959685,0.141872,speech
0.042610,0.149256,123.623287,246.692248,0.409864,0.034995,0.106168,48.838406,80.711674,0.164347,speech
0.084556,0.130711,115.387322,220.251163,0.377957,0.036792,0.105682,51.410863,81.305847,0.156867,speech
0.032378,0.118450,101.058143,180.749612,0.281635,0.015780,0.094963,45.702525,76.356600,0.152637,speech
0.095764,0.100087,96.731484,187.307752,0.260384,0.052509,0.073671,40.746219,73.631193,0.138482,speech
0.020340,0.092037,85.795348,162.006977,0.223467,0.012158,0.091472,46.782451,78.137828,0.139383,speech
0.039263,0.017393,41.320475,73.775194,0.145161,0.046287,0.029669,28.042326,65.693078,0.088521,speech
0.078392,0.078759,66.995764,122.586047,0.150041,0.045881,0.037632,14.503535,27.236133,0.066061,speech
0.039451,0.162726,114.255154,203.122481,0.380701,0.037659,0.049639,21.777804,50.350651,0.113448,speech
0.038497,0.149046,112.890691,212.287597,0.389215,0.042318,0.059136,25.310899,57.193188,0.124133,speech
0.034998,0.140122,105.823471,186.465116,0.341495,0.021134,0.049328,17.601411,34.713746,0.090002,speech
0.062831,0.093859,84.332340,157.701550,0.213879,0.028452,0.068494,35.602269,61.750047,0.132017,speech
0.049515,0.145164,121.827078,237.416279,0.385681,0.043148,0.120994,51.482602,75.916302,0.154288,speech
0.034274,0.136444,125.558180,259.189147,0.413334,0.029000,0.110755,49.116188,72.195363,0.131235,speech
0.015930,0.100359,103.221345,200.311628,0.316726,0.008094,0.105517,53.803370,91.596574,0.162214,speech
0.063055,0.088574,87.006090,167.671318,0.245240,0.032285,0.082047,45.289528,76.329826,0.145541,speech
0.069927,0.078350,73.982096,134.192248,0.192649,0.038487,0.057249,32.601530,59.919975,0.114900,speech
0.044122,0.105783,101.935224,193.788372,0.292211,0.021015,0.095903,48.881269,80.464703,0.140049,speech
0.059328,0.072483,67.175734,120.766667,0.154925,0.030834,0.046427,20.807107,37.782269,0.079772,speech
0.149179,0.105753,81.198593,143.771318,0.179875,0.074057,0.084411,41.555171,63.427707,0.111897,speech
0.059980,0.095146,89.657800,169.854264,0.236496,0.032407,0.090796,42.781691,70.323883,0.136308,speech
0.067718,0.139487,116.086646,227.897674,0.365108,0.063087,0.111894,53.579256,97.108724,0.196259,speech
0.075311,0.072876,81.129842,149.518605,0.251243,0.051924,0.117964,64.406973,117.285262,0.180907,speech
0.073232,0.080005,74.894326,143.027907,0.190587,0.046367,0.053626,24.958799,47.710586,0.106494,speech
0.049070,0.066308,63.644134,117.271318,0.140673,0.027664,0.038468,13.737152,21.781740,0.051660,speech
0.075018,0.087611,77.629200,142.565116,0.200509,0.044156,0.046119,23.508112,49.023243,0.105725,speech
0.044333,0.086362,87.923904,167.241085,0.270169,0.026474,0.119679,65.486183,111.688708,0.171313,speech
0.062831,0.082504,78.481380,145.886047,0.198849,0.032323,0.070962,39.388633,66.942115,0.133545,speech
